,acousticness,artist,danceability,date,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,position,speechiness,stream,tempo,time_signature,track_name,url,valence
24,0.0935,Calvin Harris,0.819,2017-01-01,219160.0,0.913,3.72e-05,4.0,0.161,-3.059,0.0,25.0,0.0427,125198.0,119.989,4.0,My Way,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,0.536
25,0.621,Charlie Puth,0.728,2017-01-01,217707.0,0.563,0.0,1.0,0.179,-8.053,0.0,26.0,0.134,124938.0,100.017,4.0,We Don't Talk Anymore (feat. Selena Gomez),https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,0.352
26,0.00784,Drake,0.791,2017-01-01,173987.0,0.619,0.00423,1.0,0.351,-5.886,1.0,27.0,0.0532,124422.0,103.989,4.0,One Dance,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,0.371
27,0.256,Wisin,0.772,2017-01-01,238800.0,0.909,0.0,6.0,0.255,-3.225,0.0,28.0,0.166,122764.0,96.031,4.0,Vacaciones,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,0.694
28,0.0592,Martin Garrix,0.49,2017-01-01,195840.0,0.485,0.0,4.0,0.337,-6.237,0.0,29.0,0.0406,118568.0,133.889,4.0,In the Name of Love,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,0.196
29,0.0736,Major Lazer,0.608,2017-01-01,185352.0,0.798,0.0,6.0,0.156,-5.092,0.0,30.0,0.0432,115009.0,92.943,4.0,Cold Water (feat. Justin Bieber & MØ),https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,0.501
30,0.116,Alejandro Fernandez,0.81,2017-01-01,157200.0,0.474,0.0,0.0,0.281,-7.117,1.0,31.0,0.0543,114387.0,120.071,4.0,Quiero Que Vuelvas,https://open.spotify.com/track/2Zw7rSucHm0MIph9gmNiSn,0.778
31,0.0841,Twenty One Pilots,0.732,2017-01-01,195920.0,0.396,3.58e-05,4.0,0.105,-9.348,0.0,32.0,0.0286,109372.0,90.024,4.0,Heathens,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,0.548
32,0.171,Thalía,0.78,2017-01-01,227693.0,0.929,0.0,11.0,0.0677,-0.739,0.0,33.0,0.0532,108555.0,95.012,4.0,Desde Esa Noche,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E,0.837
33,0.111,Banda Sinaloense MS de Sergio Lizárraga,0.779,2017-01-01,248120.0,0.445,5.44e-06,7.0,0.0992,-5.59,1.0,34.0,0.0329,106431.0,126.007,4.0,Tengo Que Colgar,https://open.spotify.com/track/2yGNkkwU2iT0doFxkxhcXH,0.642
34,0.0724,Farruko,0.827,2017-01-01,197840.0,0.646,0.0,1.0,0.247,-4.727,0.0,35.0,0.0766,105881.0,92.057,4.0,Chillax (feat. Ky-Mani Marley),https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES,0.512
35,0.0353,Mike Posner,0.663,2017-01-01,197933.0,0.713,7.68e-06,7.0,0.0843,-6.647,0.0,36.0,0.112,104528.0,101.965,4.0,I Took A Pill In Ibiza - Seeb Remix,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,0.69
36,0.188,Cartel De Santa,0.663,2017-01-01,225240.0,0.801,0.0,0.0,0.166,-4.086,1.0,37.0,0.246,101922.0,177.843,4.0,Leve,https://open.spotify.com/track/48yFrzTcnTCklWL9PRVZJj,0.678
37,0.00383,Steve Aoki,0.647,2017-01-01,198774.0,0.932,1.5e-06,11.0,0.0574,-3.515,1.0,38.0,0.0824,99843.0,114.991,4.0,Just Hold On,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,0.374
38,0.0631,ZAYN,0.735,2017-01-01,245200.0,0.451,1.3e-05,0.0,0.325,-8.374,1.0,39.0,0.0585,96667.0,117.973,4.0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,0.0862
39,0.117,J Balvin,0.729,2017-01-01,209427.0,0.888,1.55e-05,10.0,0.125,-2.864,1.0,40.0,0.122,96490.0,177.908,4.0,Bobo,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6,0.8
40,0.0575,Juanes,0.745,2017-01-01,167453.0,0.66,0.0,0.0,0.108,-5.461,1.0,41.0,0.0878,94332.0,95.154,4.0,Fuego,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ,0.934
41,0.658,Ariel Camacho y Los Plebes Del Rancho,0.713,2017-01-01,209121.0,0.44,2.24e-05,7.0,0.0791,-4.714,1.0,42.0,0.0391,93380.0,152.031,3.0,Te Metiste,https://open.spotify.com/track/0nNTCEOzFlBTlDCx5IfLWP,0.809
42,0.142,Rae Sremmurd,0.794,2017-01-01,291893.0,0.632,0.0,0.0,0.128,-6.163,1.0,43.0,0.0649,89100.0,145.926,4.0,Black Beatles,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,0.355
43,0.581,Banda Sinaloense MS de Sergio Lizárraga,0.756,2017-01-01,176800.0,0.526,1.08e-05,8.0,0.0875,-5.379,1.0,44.0,0.0408,87301.0,144.942,3.0,Me Vas a Extrañar,https://open.spotify.com/track/2yS8aYWXEWJ1NlZ7VPDroT,0.94
44,0.285,Banda Sinaloense MS de Sergio Lizárraga,0.751,2017-01-01,192973.0,0.525,1.43e-05,10.0,0.268,-5.209,1.0,45.0,0.0311,85971.0,119.877,4.0,Solo Con Verte,https://open.spotify.com/track/5z4O1H0vFY0Nh4ZMtfgapP,0.663
45,0.277,Jesse & Joy,0.531,2017-01-01,247640.0,0.834,0.0,2.0,0.131,-3.944,1.0,46.0,0.052,83537.0,142.026,4.0,Dueles,https://open.spotify.com/track/1iRvhKiXRElIH2Uf4gd95P,0.526
46,0.282,Nicky Jam,0.832,2017-01-01,198707.0,0.608,0.0,6.0,0.0761,-6.042,0.0,47.0,0.0385,83336.0,94.013,4.0,Hasta el Amanecer,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS,0.589
47,0.259,Sofia Reyes,0.698,2017-01-01,225073.0,0.868,1.23e-06,8.0,0.0783,-3.016,0.0,48.0,0.0855,83096.0,102.989,4.0,Llegaste tú (feat. Reykon),https://open.spotify.com/track/79Bm3DTEYuQsDpUVHbSRsL,0.485
48,0.425,Maluma,0.702,2017-01-01,206693.0,0.73,1.25e-06,0.0,0.148,-5.173,0.0,49.0,0.099,82568.0,173.967,4.0,El Perdedor,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O,0.879
49,0.108,Drake,0.927,2017-01-01,210937.0,0.488,0.0,9.0,0.196,-9.433,0.0,50.0,0.42,82095.0,133.987,4.0,Fake Love,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,0.605
