
1017,12767,RAF Camora
1018,0,
1019,354376,Luis Miguel
1020,0,
1021,59801,Michael Bublé
1022,103765,Burl Ives
1023,59801,Michael Bublé
1024,59801,Michael Bublé
1025,13531,Demi Lovato
1026,43383,Sam Smith
1027,59801,Michael Bublé
1028,402524,Parchis
1029,824,Frank Sinatra
1030,59801,Michael Bublé
1031,123485,Villancicos de Navidad
1032,354376,Luis Miguel
1033,290838,Darlene Love
1034,78828,Laura Pausini
1035,43383,Sam Smith
1036,26349,Louis Armstrong
1037,32563,Brenda Lee
1038,1052,Britney Spears
1039,354376,Luis Miguel
1040,1205,Mariah Carey
1041,455477,Wolfine
1042,687008,Keala Settle
1043,184927,Zac Efron
1044,1543249,Drake & Michael Jackson
1045,498,Beyoncé
1046,54329,Hugh Jackman
1047,5510,Don Omar
1048,2525,Macklemore & Ryan Lewis
1049,250301,Charlie Puth
1050,1617257,Steve Aoki
1051,8662,The Jackson 5
1052,379666,La Sonora Dinamita
1053,13163,Earth
1054,800,Bee Gees
1055,405504,Cardenales De Nuevo Leon Los
1056,1217303,Raymix
1057,359607,Vicente Fernández
1058,526323,Grupo Cañaveral De Humberto Pabón
1059,456163,Cumbias viejitas
1060,490779,Banda Sinaloense MS de Sergio Lizárraga
1061,622140,CNCO
1062,1277364,Loren Allred
1063,1277357,Ziv Zaifman
1064,54329,Hugh Jackman
1065,54329,Hugh Jackman
1066,54329,Hugh Jackman
1067,334,Justin Timberlake
1068,35041,Michelle Williams
1069,1308689,Yuawi
1070,500,Bruno Mars
1071,1277361,Austyn Johnson
1072,1277364,Loren Allred
1073,364644,Bomba Estéreo
1074,1514198,Liam Payne & Rita Ora
1075,1560123,Karol G & Anuel AA
1076,1402753,Greeicy
1077,1308689,Yuawi
1078,1130186,DJ Kass
1079,609667,Camila Cabello
1080,8362,Enrique Iglesias
1081,609667,Camila Cabello
1082,609667,Camila Cabello
1083,609667,Camila Cabello
1084,609667,Camila Cabello
1085,609667,Camila Cabello
1086,609667,Camila Cabello
1087,609667,Camila Cabello
1088,555561,Dua Lipa
1089,1452123,Becky G & Natti Natasha
1090,31849,The Cranberries
1091,31849,The Cranberries
1092,1113863,HotSpanish
1093,17621,Slim Lean
1094,31849,The Cranberries
1095,31849,The Cranberries
1096,31849,The Cranberries
1097,31849,The Cranberries
1098,1177,Taylor Swift
1099,1421,Kendrick Lamar
1100,161507,Troye Sivan
1101,31849,The Cranberries
1102,361468,Café Tacvba
1103,1119780,Luis Fonsi & Daddy Yankee
1104,1440188,Cardi B
1105,150934,The Chainsmokers
1106,17621,Slim Lean
1107,1440188,Cardi B
1108,640693,Ozuna
1109,130,Drake
1110,78828,Laura Pausini
1111,458858,Sebastián Yatra
1112,1239616,Cornelio Vega & Su Dinastía
1113,49549,Danny Ocean
1114,458858,Sebastián Yatra
1115,500,Bruno Mars
1116,1033670,Bazzi
1117,640693,Ozuna
1118,500,Bruno Mars
1119,484307,Mon Laferte
1120,2358,The Weeknd
1121,334,Justin Timberlake
1122,2358,The Weeknd
1123,484307,Mon Laferte
1124,452120,El Bebeto
1125,344693,Carlos Vives
1126,500,Bruno Mars
1127,1084521,Zedd & Alessia Cara
1128,182312,Zoey Dollaz
1129,284075,Maite Perroni
1130,182312,Zoey Dollaz
1131,1130186,DJ Kass
1132,1421,Kendrick Lamar
1133,1211823,Mau y Ricky
1134,405156,Leslie Grace
1135,1130186,DJ Kass
1136,1421,Kendrick Lamar
1137,1402544,Marshmello & Anne-Marie
1138,581698,Liam Payne
1139,1421,Kendrick Lamar
1140,405252,Ariel Camacho Y Los Plebes Del Rancho
1141,1228503,Virlán García
1142,581698,Liam Payne
1143,1052299,Hailee Steinfeld & Grey
1144,1587228,Chris Jeday
1145,1052299,Hailee Steinfeld & Grey
1146,498,Beyoncé
1147,87946,A Great Big World
1148,201194,Meghan Trainor
1149,539524,Matisse & Sadko
1150,2300,Adele
1151,1019877,Alex Sensation
1152,1151884,Alta Consigna
1153,1440188,Cardi B
1154,346373,Reik
1155,406125,Sofía Reyes
1156,491975,Morat
1157,50963,Nacho
1158,326362,Post Malone
1159,1440188,Cardi B
1160,1064468,Ulices Chaidez Y Sus Plebes
1161,491975,Morat
1162,453636,Alfredo Olivas
1163,1254513,BlocBoy JB
1164,150934,The Chainsmokers
1165,29472,Imagine Dragons
1166,29472,Imagine Dragons
1167,828,Ricky Martin
1168,344914,Alejandro Fernández
1169,326362,Post Malone
1170,64610,5 Seconds of Summer
1171,326362,Post Malone
1172,491975,Morat
1173,381820,El Pelon Del Mikrophone
1174,1084521,Zedd & Alessia Cara
1175,490779,Banda Sinaloense MS de Sergio Lizárraga
1176,359499,Caifanes
1177,1440188,Cardi B
1178,1444143,Billie Eilish & Khalid
1179,1440188,Cardi B
1180,48433,RBD
1181,48433,RBD
1182,29472,Imagine Dragons
1183,29472,Imagine Dragons
1184,182312,Zoey Dollaz
1185,182312,Zoey Dollaz
1186,182312,Zoey Dollaz
1187,1407355,Nicky Jam & J Balvin
1188,1560123,Karol G & Anuel AA
1189,403538,Zion & Lennox
1190,1196714,Khea
1191,621216,Rels B
1192,17974,Karpe Diem
1193,409643,Julia Michaels
1194,455477,Wolfine
1195,13531,Demi Lovato
1196,1587228,Chris Jeday
1197,396565,XXXTENTACION
1198,405415,Maluma
1199,364644,Bomba Estéreo
1200,13539,Maroon 5
1201,36416,Rudimental
1202,352970,Ha-Ash
1203,388604,Juan Magán
1204,344442,David Bisbal
