,AUTOR,TITULO,LETRA
40,Shakira,Chantaje by Shakira (Ft. Maluma),"cuando estás bien te alejas de mí te sientes sola y siempre estoy ahí es una guerra de toma y dame pues dame de eso que tienes ahí oye, baby, no seas mala no me dejes con las ganas se escucha en la calle que ya no me quieres ven y dímelo en la cara pregúntale a quien tú quieras vida, te juro que eso no es así yo nunca tuve una mala intención yo nunca quise burlarme de ti conmigo ves, nunca se sabe un día digo que no y otro que sí yo soy masoquista con mi cuerpo un egoísta tú eres puro, puro chantaje puro, puro chantaje siempre es a tu manera yo te quiero aunque no quiera tú eres puro, puro chantaje puro, puro chantaje vas libre como el aire no soy de ti ni de nadie como tú me tientas, cuando tú te mueves esos movimientos sexys, siempre me entretienen sabes manipularme bien con tus caderas no sé porque me tienes en lista de espera te dicen por ahí que voy haciendo y deshaciendo que salgo cada noche, que te tengo ahí sufriendo que en esta relación soy yo la que manda no pares bola' a toda esa mala propaganda pa', pa' que te digo na', te comen el oído no vaya a enderezar lo que no se ha torcido y como un loco sigo tras de ti, muriendo por ti dime qué hay pa' mí, bebé (¿qué?) pregúntale a quien tú quieras vida, te juro que eso no es así yo nunca tuve una mala intención yo nunca quise burlarme de ti conmigo ves, nunca se sabe un día digo que no, y otro que sí yo soy masoquista con mi cuerpo un egoísta tú eres puro, puro chantaje puro, puro chantaje siempre es a tu manera yo te quiero aunque no quiera tú eres puro, puro chantaje puro, puro chantaje vas libre como el aire no soy de ti ni de nadie eh-eh-eh, nadie eh-eh-eh, nadie eh-eh-eh, nadie con mi cuerpo, un egoísta tú eres puro, puro chantaje puro, puro chantaje siempre es a tu manera yo te quiero aunque no quiera tú eres puro, puro chantaje puro, puro chantaje vas libre como el aire no soy de ti ni de nadie eh-eh-eh, nadie eh-eh-eh, nadie eh-eh-eh, nadie eh-eh-eh-eh-eh-eh (alright alright, baby, shakira, maluma) pretty boy (you're my baby loba, colombia, you feel me?) pretty boy"
41,Shakira,Can't Remember to Forget You by Shakira (Ft. Rihanna),"i left a note on my bedpost said, ""not to repeat yesterday’s mistakes"" what i tend to do when it comes to you i see only the good, selective memory the way you make me feel, yeah, you gotta hold on me i've never met someone so different oh, here we go you a part of me now you a part of me so where you go i follow, follow, follow ohh ohh i can't remember to forget you ohh ohh i keep forgetting i should let you go but when you look at me the only memory is us kissing in the moonlight ohh ohh i can't remember to forget you ohh ohh i can't remember to forget you i go back again fall off the train land in his bed repeat yesterday’s mistakes what i'm trying to say is not to forget you see only the good, selective memory the way he makes me feel like the way he makes me feel i never seemed to act so stupid oh, here we go he a part of me now he a part of me so where he goes i follow, follow, follow ohh ohh i can't remember to forget you ohh ohh i keep forgetting i should let you go but when you look at me the only memory is us kissing in the moonlight ohh ohh i can't remember to forget you i rob and i kill to keep him with me i do anything for that boy i'd give my last dime to hold him tonight i do anything for that boy i rob and i kill to keep him with me i do anything for that boy i'd give my last time to hold him tonight i do anything for that boy ohh ohh i can't remember to forget you ohh ohh i keep forgetting i should let you go but when you look at me the only memory is us kissing in the moonlight ohh ohh i can't remember to forget you but when you look at me the only memory is us kissing in the moonlight ohh ohh i can't remember to forget you"
42,Shakira,Hips Don't Lie by Shakira (Ft. Wyclef Jean),"ladies up in here tonight no fighting, no fighting (we got the refugees up in here) no fighting shakira, shakira i never really knew that she could dance like this (hey, yeah) she make a man wanna speak spanish cómo se llama (si!), bonita (si!) mi casa, su casa (shakira, shakira) oh baby, when you talk like that (hey) you make a woman go mad (yeah) so be wise (si!) and keep on (si!) reading the signs of my body (uno, dos, tres, cuatro) i'm on tonight, you know my hips don't lie and i'm starting to feel it's right all the attraction, the tension don't you see baby, this is perfection hey girl, i can see your body moving and it's driving me crazy and i didn't have the slightest idea until i saw you dancing and when you walk up on the dance floor nobody cannot ignore the way you move your body, girl and everything so unexpected - the way you right and left it so you can keep on shaking it (let's go) i never really knew that she could dance like this (hey) she make a man wanna speak spanish cómo se llama (si!), bonita (si!) mi casa, su casa (shakira, shakira) oh baby, when you talk like that (oh) you make a woman go mad (oh) so be wise (si!) and keep on (si!) reading the signs of my body i'm on tonight you know my hips don't lie and i'm starting to feel you boy come on let's go, real slow don't you see baby, así es perfecto they know i'm on tonight, my hips don't lie and i'm starting to feel it's right all the attraction, the tension don't you see baby, this is perfection (shakira, shakira) oh boy, i can see your body moving half animal, half man i don't, don't really know what i'm doing but you seem to have a plan my will and self-restraint have come to fail now, fail now see, i'm doing what i can, but i can't so you know that's a bit too hard to explain (uno, dos, tres, cuatro) baila en la calle de noche baila en la calle de día baila en la calle de noche baila en la calle de día i never really knew that she could dance like this (hey) she make a man wanna speak spanish (yeah) cómo se llama (si!), bonita (si!) mi casa, su casa (shakira, shakira) oh baby, when you talk like that (oh) you knew you got me hypnotized (yeah) so be wise (si! uh) and keep on (si! uh) reading the signs of my body (yeah) señorita, feel the conga let me see you move like you come from colombia yeah, oh, yeah, ladies si! (hey, yeah) mira en barranquilla se baila así (yeah), say it! en barranquilla se baila así yeah, she's so sexy, every man's fantasy a refugee like me back with the fugees from a third world country (uh-huh) i go back like when 'pac carried crates for humpty humpty we leave the whole club dizzy why the cia wanna watch us? colombians and haitians i ain't guilty, it's a musical transaction bo-bop-so-bop, no more do we snatch ropes refugees run the seas, 'cause we own our own boats i'm on tonight my hips don't lie and i'm starting to feel you boy come on let's go, real slow baby, like this is perfecto (no fighting) oh, you know i'm on tonight, my hips don't lie and i'm starting to feel it's right the attraction, the tension baby, like this is perfection no fighting, no fighting"
43,Shakira,La La La (Brazil 2014) by Shakira (Ft. Carlinhos Brown),"essa bola vai rolar o mundo é um tapete verde quando a bola chega lá coração fica na rede, na rede, na rede ola, ola! la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la! i dare you leggo leggo leggo leggo feel how the planet, become one beats like a drum to the same rhythm hear the whistle, kick the ball the entire world soars like an eagle in rio we play, like we dance only today there's no tomorrow leave all behind, in this place there's no space for fear or sorrow is it true that you want it? then act like you mean it with everyone watching it's truth or dare, can you feel it? la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la! i dare you leggo leggo you have arrived, it's the place no more doubts the time is coming feel how the planet, become one like a drum destiny's calling german, colombians, spanish and french off the bench you gotta own it down here we play, like we dance it's brazil and now you know it is it true that you want it? then act like you mean it with everyone watching it's truth or dare, can you feel it? la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la! i dare you is it true that you want it? then act like you mean it the whole world is watching it's truth or dare, can you feel it? la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la! i dare you leggo leggo leggo leggo"
44,Shakira,Me Enamoré by Shakira,"la vida me empezó a cambiar la noche que te conocí tenía poco que perder y la cosa siguió así yo con mis sostén a rayas y mi pelo a medio hacer pensé: ""este todavía es un niño"" pero, ¿qué le voy a hacer? es lo que andaba buscando el doctor recomendando creí que estaba soñando, oh, oh ¿de qué me andaba quejando? no sé qué estaba pensando voy pal cielo y voy pateando, oh, oh me enamoré,  me ena-na-namoré lo vi solito y me lancé me ena-na-namoré me ena-na-namo... mira que cosa bonita que boca más redondita me gusta esa barbita y bailé hasta que me cansé hasta que me cansé bailé y me ena-na-namoré nos enamoramos un mojito, dos mojitos mira que ojitos bonitos me quedo otro ratito contigo yo tendría 10 hijos empecemos por un par solamente te lo digo por si quieres practicar lo único que estoy diciendo vayámonos conociendo es lo que he estao proponiendo, oh, oh nos vamos entusiasmando todo nos va resultando qué bien lo estamos pasando, oh, oh me enamoré, me ena-na-namoré lo vi solito y me lancé me ena-na-namoré me ena-na-namo... mira que cosa bonita que boca más redondita me gusta esa barbita y bailé hasta que me cansé hasta que me cansé bailé me ena-na-namoré nos enamoramos un mojito, dos mojitos mira que ojitos bonitos me quedo otro ratito nunca creí que fuera así ¿cómo te fijarías en mí? toda la noche lo pensé este es pa' mí o pa' más nadie e-es pa' mí o pa' más nadie este es pa' mí o pa' más nadie e-e-es pa' mí o pa' más nadie me enamoré,  me ena-na-namoré lo vi solito y me lancé me ena-na-namoré me ena-na-namo... mira que cosa bonita que boca más redondita me gusta esa barbita y bailé hasta que me cansé hasta que me cansé bailé me ena-na-namoré nos enamoramos un mojito, dos mojitos mira que ojitos bonitos me quedo otro ratito nunca creí que fuera así ¿cómo te fijarías en mí? toda la noche lo pensé este es pa' mí o pa' más nadie e-es pa' mí o pa' más nadie este es pa' mí o pa' más nadie e-e-es pa' mí o pa' más nadie"
45,Shakira,Try Everything by Shakira,"oh oh oh oh oooh oh oh oh oh oooh oh oh oh oh oooh oh oh oh oh oooh i messed up tonight, i lost another fight i still mess up but i'll just start again i keep falling down, i keep on hitting the ground i always get up now to see what's next birds don't just fly, they fall down and get up nobody learns without getting it wrong i won't give up, no i won't give in til i reach the end and then i'll start again no i won't leave, i wanna try everything i wanna try even though i could fail i won't give up, no i won't give in til i reach the end and then i'll start again no i won't leave, i wanna try everything i wanna try even though i could fail oh oh oh oh oooh try everything oh oh oh oh oooh try everything oh oh oh oh oooh try everything oh oh oh oh oooh look at how far you've come, you filled your heart with love baby you've done enough, take a deep breath don't beat yourself up, don't need to run so fast sometimes we come last, but we did our best i won't give up, no i won't give in til i reach the end and then i'll start again no i won't leave, i wanna try everything i wanna try even though i could fail i won't give up, no i won't give in til i reach the end and then i'll start again no i won't leave, i wanna try everything i wanna try even though i could fail i'll keep on making those new mistakes i'll keep on making them every day those new mistakes oh oh oh oh oooh try everything oh oh oh oh oooh try everything oh oh oh oh oooh try everything oh oh oh oh oooh try everything"
46,Shakira,Deja Vu by Prince Royce & Shakira,"tú me abriste las heridas que ya daba por curadas con limón, tequila y sal una historia repetida solamente un déjà vu que nunca llega a su final mejor me quedo solo y me olvido de tus cosas de tus ojos mejor esquivo el polvo no quiero caer de nuevo en esa foto de locura de hipocresía total ¿quién puede hablar del amor? ¿y defenderlo? que levante la mano, por favor ¿quién puede hablar del dolor? pagar la fianza pa' que salga de mi corazón si alguien va a hablar del amor te lo aseguro esa no voy a ser yo esa no voy a ser yo esta idea recurrente quiere jugar con mi mente pa' volverme a engatusar una historia repetida solamente un déjà vu que nunca llega a su final mejor me quedo sola y me olvido de tus cosas de tus ojos mejor esquivo el polvo no quiero caer de nuevo en esa foto de locura de hipocresía total ¿quién puede hablar del amor? ¿y defenderlo? que levante la mano, por favor ¿quién puede hablar del dolor? pagar la fianza pa' que salga de mi corazón si alguien va a hablar del amor te lo aseguro esa no voy a ser yo ¿quién puede hablar del amor? ¿y defenderlo? que levante la mano, por favor ¿quién puede hablar de dolor? pagar la fianza pa' que salga de mi corazón si alguien va a hablar del amor te lo aseguro esa no voy a ser yo esa no voy a ser yo"
47,Shakira,Waka Waka (This Time for Africa) by Shakira (Ft. Freshlyground),"you're a good soldier choosing your battles pick yourself up and dust yourself off get back in the saddle you're on the front line everyone's watching you know it's serious, we're getting closer this isn't over the pressure's on, you feel it but you got it all, believe it when you fall get up, oh oh if you fall get up, eh eh tsamina mina zangalewa 'cause this is africa tsamina mina, eh eh waka waka, eh eh tsamina mina zangalewa this time for africa listen to your god this is our motto your time to shine, don't wait in line y vamos por todo people are raising their expectations go on and feed them, this is your moment no hesitations today's your day, i feel it you paved the way, believe it if you get down get up, oh oh when you get down get up, eh eh tsamina mina zangalewa this time for africa tsamina mina, eh eh waka waka, eh eh tsamina mina zangalewa anawa a a tsamina mina, eh eh waka waka, eh eh tsamina mina zangalewa this time for africa awabuye lamajoni, ipikipiki mama wa a to z bathi susa lamajoni, ipikipiki mama from east to west bathi waka waka ma eh eh waka waka ma eh eh zonk' izizwe mazibuye 'cause this is africa tsamina mina, anawa a a tsamina mina tsamina mina, anawa a a tsamina mina, eh eh waka waka, eh eh tsamina mina zangalewa anawa a a tsamina mina, eh eh waka waka, eh eh tsamina mina zangalewa this time for africa django eh eh django eh eh tsamina mina zangalewa anawa a a django eh eh django eh eh tsamina mina zangalewa anawa a a this time for africa this time for africa we're all africa we're all africa"
48,Shakira,"Whenever, Wherever by Shakira","lucky you were born that far away so we could both make fun of distance lucky that i love a foreign land for the lucky fact of your existence baby, i would climb the andes solely to count the freckles on your body never could imagine there were only ten million ways to love somebody le ro lo le lo le, le ro lo le lo le can't you see? i'm at your feet whenever, wherever we're meant to be together i'll be there and you'll be near and that's the deal, my dear thereover, hereunder you'll never have to wonder we can always play by ear but that's the deal, my dear lucky that my lips not only mumble they spill kisses like a fountain lucky that my breasts are small and humble so you don't confuse them with mountains lucky i have strong legs like my mother to run for cover when i need it and these two eyes that for no other the day you leave will cry a river le ro lo le lo le, le ro lo le lo le at your feet i'm at your feet whenever, wherever we're meant to be together i'll be there and you'll be near and that's the deal, my dear thereover, hereunder you'll never have to wonder we can always play by ear but that's the deal, my dear le ro le le lo le, le ro le le lo le think out loud, say it again le ro lo le lo le lo le tell me one more time that you'll live lost in my eyes whenever, wherever we're meant to be together i'll be there and you'll be near and that's the deal, my dear thereover, hereunder you've got me head over heels there's nothing left to fear if you really feel the way i feel whenever, wherever we're meant to be together i'll be there and you'll be near and that's the deal, my dear thereover, hereunder you've got me head over heels there's nothing left to fear if you really feel the way i feel"
49,Shakira,Trap by Shakira (Ft. Maluma),"quiere que lo hagamos en diferentes partes pero estoy cansada de desilusiones hace mucho tiempo no creo en los hombres y no necesito de este mal de amores me pide y yo le doy sabe que siempre aquí estoy casi siempre llama tarde y nunca cambia el dirty boy quiero besarte satisfacerte oye baby no me niegues, vámonos quiere que se lo haga en diferentes partes ella está cansada de desilusiones no quiere saber de un rompecorazones llámame cuando quieras beba quiere que lo hagamos en diferentes partes pero estoy cansada de desilusiones no quiero saber de un rompecorazones llámame cuando quieras beba tu muévete encima de mí compláceme ¡ay bebé! tu muévete encima de mí compláceme cuando tu quieras baby vámonos, perdámonos de la realidad escapémonos en la cama tu y yo matémonos con eso que naciste, dámelo quiere que se lo haga en diferentes partes ella está cansada de desilusiones no quiere saber de un rompecorazones llámame cuando quieras beba quiere que se lo haga en diferentes partes ella está cansada de desilusiones no quiere saber de un rompecorazones llámame cuando quieras beba dale una prueba ponle nutella tú solo disfruta, que las horas vuelan (vuelan, vuelan, vuelan, ah) haciéndolo inolvidable aventura 35 mil pies de altura a velocidad crucero pude ver como te desnudas no espero menos de tí me gusta hacerte sentir y si firmo el contrato, contigo quiero repetir ah, ah, ah, ah, ah ah ah, ah, ah, ah, ah ah quiere que se lo haga en diferentes partes pero estoy cansada de desilusiones no quiero saber de un rompecorazones llámame cuando quieras beba quiere que se lo haga en diferentes partes ella está cansada de desilusiones no quiere saber de un rompecorazones llámame cuando quieras beba"
50,Ozuna,La Modelo by Ozuna (Ft. Cardi B),"oh, oh, oh oh, oh, oh, oh oh, oh, oh oh, oh, oh, oh yo quiero hacerte tantas cosas sin enamorarte quiero que te sientas cómoda, así vamo' aparte así, como tú quieras, te hago el amor y pa' mí, modélame, bebé, en ropa interior y de pensar que yo contigo quiero estar querer probar algo de ti pa' no olvidar yo no me sé ni su nombre, pero la quiero pasó y dejó su fragancia y hasta me desespero y de pensar que yo contigo quiero estar quiero probar algo de ti pa' no olvidar yo no me sé ni su nombre, pero la quiero pasó y dejó su fragancia y hasta me desespero rapa pa pai, rapa pa pai (oh, oh) y rapa pa pai, rapa pa pai así es que la quiero, quiero rapa pa pai, rapa pa pai (oh, oh) y rapa pa pai, rapa pa pai así es que la quiero, quiero si la viera, baila hasta sola peligrosa como una pistola rompe la disco, to' el mundo menciona pero esa mami conmigo es de cora bésame, báilame ahora me mete sudando, su cuerpo demora de todas las babies ella es la championa se pone loquita si me escucha en la emisora, y ahora bésame, báilame ahora me mete sudando, su cuerpo demora de todas las babies ella es la championa se pone loquita si me escucha en la emisora, y ahora y de pensar que yo contigo quiero estar quiero probar algo de ti pa' no olvidar yo no me sé ni su nombre, pero la quiero pasó y dejó su fragancia y hasta me desespero for me to think that you are the one for me left your baby mom, now cardi's your wife-to-be ex had me locked up, but you came to set me free they say you not my type, but you got my type of d so answer this, can you hold me? can i trust you? patek on the wrist, both arms, that's what us do mansion on the hills, half/half if you want to but that's only if you want to bésame, báilame ahora le mete sudando, su cuerpo demora de todas las babies ella es la championa se pone loquita si me escucha en la emisora, y ahora bésame, báilame ahora le mete sudando, su cuerpo demora de todas las babies ella es la championa se pone loquita si me escucha en la emisora, y ahora y de pensar que yo contigo quiero estar querer probar, algo de ti pa' no olvidar yo no me sé ni su nombre, pero la quiero pasó y dejó su fragancia y hasta me desespero y de pensar que yo contigo quiero estar quiero probar, algo de ti pa' no olvidar yo no me sé ni su nombre, pero la quiero pasó y dejó su fragancia y hasta me desespero rapa pa pai, rapa pa pai (oh, oh) y rapa pa pai, rapa pa pai así es que la quiero, quiero rapa pa pai, rapa pa pai (oh, oh) y rapa pa pai, rapa pa pai así es que la quiero, quiero"
51,Ozuna,"DJ Snake - Taki Taki ft. Ozuna, Cardi B & Selena Gomez (English Translation) by Genius Translations","wo-oh, oh-oh dance as if it were the last time (oh) and show me that little step that i do not know (yeah-yeah) a nice little kiss, baby taki taki, taki taki, rumba! wo-oh, oh-oh hi music hi flow (snake; haha) dance as if it were the last time (oh-oh) and show me that little step that i do not know (oh-oh) a nice little baby kiss taki taki (oh-oh) taki taki (yeah-yeah) taki taki do you want a little kiss or ñaqui booty blows up like nagasaki (-aki) turn on the kawasaki motorcycles (kawasaki) that the club is full and the annunaki are here (eh-eh) don't slow down, the booty sticks out of your suit she did not bring panties so the guy doesn't have to work for it it's just that i know what she thinks she knows she says she doesn't want to but she is spying on me, eh-eh the booty sticks out of your suit she did not bring panties so the guy doesn't have to work for it it's just that i know what she thinks she knows she says she doesn't want to but she is spying on me, eh-eh dance as if it were the last time and show me that little step that i do not know a nice soft kiss, baby taki taki, taki taki, rumba! wo-oh, oh-oh hi music hi flow bardi (cardi) he said he wants to touch it, and tease it, and squeeze it while my piggybank is hungry, my nigga, you need to feed it if the text ain't freaky, i don't wanna read it and just to let you know this punani is undefeated, ayy he said he really wanna see me more i said, ""we should have a date—where? at the lamborghini store"" i'm kinda scary, hard to read, i'm like a ouija board but i'm a boss bitch, who you gonna leave me for? you hoes got no class, you bitches is broke still i'll be talkin 'cash shit while i'm poppin' my gold grill (uh) i'ma whole rich bitch but i work like i'm broke still (cardi) but the love be so fake, but the hate be so real (uh) the booty sticks out of my suit i did not wear panties so he doesn't have to work for it it's just that i know what you think you don't know he says he doesn't want to but he wants to eat this package dance as if it were the last time and show me that little step that i do not know a nice soft kiss, baby taki taki, taki taki, rumba! wo-oh, oh-oh dj snake careful when you come through my way my body-ody know how to play work it, keep it tight every day and i, i, i know you need a taste when i ooh, falling in love give a little ooh-ooh, get it well done dancing in my ooh, make a girl wanna run we keep moving 'til the sun come up because i am the party, i am party blow out your candles, have a nap you can try but not one can stop me what my taki taki wants, yeah my taki taki gets, uh dance as if it were the last time and show me that little step that i do not know a nice little kiss, baby taki taki, taki taki, rumba! wo-oh, oh-oh hi music hi flow taki taki taki taki"
52,Ozuna,El Farsante (Remix) by Ozuna (Ft. Romeo Santos),"this is a golden remix king calculan que relaciones que fracasan mayormente es por desengaño falsedad que contamina y hace daño tú fuiste perfecto clavel que con mis manos marchité mi obra se llama ""romeo sin julieta otra vez"" puedes pensar ""soy el rey de las mentiras, volvería a fallar"" aunque lo jure por mi vida mis palabras no importan ni valen ni de rodilla na' 'e na' dice que ha visto muchas novelas, el actor debe llorar no, ¿ahora qué hago? ozuna y yo somos farsantes, nos ahogamo' en el fracaso no, no juro en vano jamás yo vuelvo a ser infiel con chapiadoras, yo te amo no, escúchame esa pena que siento voy a hacer otro disco con aventura y te lo dedico enterito bebé, si todavía me amas como ante' ya nada me parece interesante yo sé que en el amor soy un farsante yo sin ti no vuelvo a enamorarme, bebé si todavía me amas como antes ya nada me parece interesante yo sé que en el amor soy un farsante yo sin ti no vuelvo a enamorarme, bebé yo sin ti yo no me vuelvo a enamorar no sé ni qué pensar ya sé por qué todo me sale mal mentí diciéndote que era leal siendo un amor real, le pido a dios me pueda perdonar no quiero que te vaya', vamo' a intentarlo ¿por qué no salvamos nuestra relación? tú sabe', bebé perdona, bebé ey, bebé si todavía me amas como antes ya nada me parece interesante yo sé que en el amor soy un farsante yo sin ti no vuelvo a enamorarme, bebé (ehhh) si todavía me amas como ante' ya nada me parece interesante (-sante) yo sé que en el amor soy un farsante yo sin ti no vuelvo a enamorarme, bebé tu aroma en la cama (ehh) de ese que dejas cuando entras y sales dónde quedaron los besos y todos los planes (oh-oh-oh) no sé si vivir o morir (ohh) me encuentro en un limbo desde que te fuiste de aquí (oh-oh-oh) eres la única persona que yo quiero que se venga encima de mí mi libertad no la quiero, tampoco la vida 'e soltero yo lo que quiero es que quieras lo mismo que todos queremos tener una cuenta de banco con dígito' y muchos cero' (ehhh) hacer el amor a diario y de paso gastar el dinero dime bebé, si todavía me amas como antes ya nada me parece interesante yo sé que en el amor soy un farsante yo sin ti no vuelvo a enamorarme, bebé si todavía me amas como ante' ya nada me parece interesante yo sé que en el amor soy un farsante yo sin ti no vuelvo a enamorarme, bebé i had to do it golden remix the king"
53,Ozuna,"Ahora Dice (Real Hasta La Muerte Remix) by Chris Jeday, J Balvin & Ozuna (Ft. Anuel AA, Arcángel, Cardi B & Offset)","real hasta la muerte ¿oí'te bebé? tú no quieres saber na' de mí (uhh, na-na) dime qué fue lo que yo hice mal (dime qué pasó) te pusieron en contra de mí (uhh, na-na) pero es peor pedir perdón que perdonar se murió una flor y cambió de color (yeh-ieh) tú eras mi diabla, yo te daba calor fumando pa' olvidarte, pa' matar el dolor y a veces quiero morirme, pero nadie ha muerto de amor ahora dice que no me conoce, no, no, no, no, no y si me ha visto se supone, que en el pasado fue yo sí me acuerdo cómo lo hacíamos cómo en la cama nos matábamos (leggo') ahora dice que no me conoce, no, no, no, no, no y si me ha visto se supone, que en el pasado fue yo sí me acuerdo cuando lo hacíamos cuando en la cama nos matábamos te dejaste manipular, tú no sabes amar tú dices que tú me odias, pero tú no me va' olvidar sabes que tus piernas, yo te las pongo a temblar yo te devoraba, y tú empezaba' a gritar si se mueren, en la muerte traicionan te aman, se van y te odian y en la muerte es como la personas que te dejan sola después que te lloran hablando con la luna, como un lobo buscando a su loba buscando al demonio, que te está devorando en su alcoba hablándote mal de mí como si yo ya me morí dile a ese infeliz que te la coma como yo te la comí y que te haga mojarte como yo te hice venirte tú dijiste que encima 'e mi cuerpo tú más, tú querías morirte, yeh sólo yo he podido llegarle tu cuerpo sabe elevarse y cuando tus piernas temblaban no decías nada, nada, no, no yo sé que nuestro amor es periódico de ayer tú crees que es fácil mirarte a la cara y que me diga': ""ya no, no te conozco"", pues 'tá to' bien tarde o temprano el karma a ti te va a caer, vas a volver sólita yo sé que vas a caer va a volver a llamarme pa' que te lo vuelva a hacer ay nena, no trate', que no me voy a envolver porque dicen, y yo creo, que lucifer es mujer ahora dice que no me conoce, no, no, no, no, no y si me ha visto se supone, que en el pasado fue yo sí me acuerdo cómo lo hacíamos cómo en la cama nos matábamos you ain't cherish shit when you had it turn me back to a savage grab your stuff while you at it now my heart is cold as my patek, uh man, i guess you feel away now see me on the way up, you on your way down you had you a ten, but now you a dub you ain't here, but you wishing you was you gon' miss grabbing this ass now you can miss me with them subs you don't gotta check on me 'cause i got a check on me i don't need nothing from nobody, not you especially and you know that i'm the baddest, cartier glasses, fendi fabric and i'm years away from basic, and i'm miles away from average but, one thing ain't adding up to me how you gon' mess with a bitch that look up to me, off i cannot let up (let up) hug me like a gucci sweater (sweater) ain't nobody drippin' wetter (drippin') i took the time to write a letter (i took the time) we worked hard out the ghetto i don't deserve your heart, know you fed up (nah) we both had a broken heart when we met up your body a piece of art, you don't sell it you know that i miss it, i just wanna kiss it i scroll through the phone, lookin' how we would kick it (kick it) knock at the door, it's a visit she take that shit off then i fuck in the kitchen (smash) his and hers, mr. and mrs. (hey) when i talk to her baby girl listens (listen) i had a dream and you was in it (dream) when you gone, i feel like i been sinnin' come back, come back, come back (come back) you not really rich, got the bomb pack (bomb) dive in the water, have fun with that (dive) i might put a daughter or son in that (i might) i bought you a ring and five hundred racks (hey) she like the triangle balenci bag (drip) you know you an angel, come save the bad (angel) if you really love me then take me back j balvin, men yo sé que nuestro amor es periódico de ayer tú crees que es fácil mirarte a la cara y que me diga': ""ya no, no te conozco"", pues 'ta to' bien tarde o temprano el karma a ti te va a caer, vas a volver los dos, sólita yo sé que vas a caer va a volver a llamarme pa' que te lo vuelva a hacer ay nena, no trate', que no me voy a envolver porque dicen, y yo creo, que lucifer es mujer y ahora dice que no me conoce, no, no, no, no, no y si me ha visto se supone, que en el pasado fue yo sí me acuerdo cómo lo hacíamos cómo en la cama nos matábamos ¡uh! ahora dice, ahora dice ahora dice, ahora dice, ahora dice"
54,Ozuna,Vaina Loca by Ozuna (Ft. Manuel Turizo),"jeje, woah-oh au-aura no va a ser tan fácil aunque me esquives como quiera tras de ti, voy tras de ti (yeh) tú tienes todo lo que quiero para mí y tú tan sola por ahí detrás de ti voy a seguir yo sé que lo bueno toma tiempo, lady es que me gustas tú na' más no me importan las demás una vaina loca que me da que por más que intento no se va me gustas tú na' más no me importan las demás una vaina loca que me da que por más que intento no se va me gustas tú na' má', no sé disimular la música que hago sólo en ti me hace pensar única, una rosa, yo me la quiero robar sencilla, bonita, no se tiene que maquillar me mata el piquete, baila duro y le mete con nadie se compromete, y menos si tú le promete tiene lo que quiero, me tiras que yo le llego no sé disimular, bailo contigo y yo me entrego me mata el piquete, baila duro y le mete con nadie se compromete, y menos si tú le promete tiene lo que quiero, me tiras que yo le llego no sé disimular, bailo contigo y yo me entrego es que me gustas tú na' más no me importan las demás una vaina loca que me da que por más que intento no se va es que me gustas tú na' más no me importan las demás una vaina loca que me da que por más que intento no se va porque cuando te tengo cerquita me entra una vaina loca que después no se me quita es que en mi lista tú eres la favorita tú eres la única que este hombre necesita baby lo que yo quiero vale más que el dinero yo viajo el mundo entero si es por ti no hay pero siento que por ti desespero cuando no te tengo más es que me gustas tú na' más no me importan las demás una vaina loca que me da que por más que intento no se va me gustas tú na' más no me importan las demás una vaina loca que me da que por más que intento no se va"
