,artist_id,artist_name
10180,59801,Michael Bublé
10181,59801,Michael Bublé
10182,59801,Michael Bublé
10183,59801,Michael Bublé
10184,59801,Michael Bublé
10185,59801,Michael Bublé
10186,59801,Michael Bublé
10187,59801,Michael Bublé
10188,59801,Michael Bublé
10189,59801,Michael Bublé
10190,13531,Demi Lovato
10191,13531,Demi Lovato
10192,13531,Demi Lovato
10193,13531,Demi Lovato
10194,13531,Demi Lovato
10195,1240266,Genius Translations
10196,13531,Demi Lovato
10197,13531,Demi Lovato
10198,13531,Demi Lovato
10199,13531,Demi Lovato
10200,43383,Sam Smith
10201,43383,Sam Smith
10202,43383,Sam Smith
10203,43383,Sam Smith
10204,1553003,Calvin Harris & Sam Smith
10205,43383,Sam Smith
10206,43383,Sam Smith
10207,43383,Sam Smith
10208,43383,Sam Smith
10209,43383,Sam Smith
10210,59801,Michael Bublé
10211,59801,Michael Bublé
10212,59801,Michael Bublé
10213,59801,Michael Bublé
10214,59801,Michael Bublé
10215,59801,Michael Bublé
10216,59801,Michael Bublé
10217,59801,Michael Bublé
10218,59801,Michael Bublé
10219,59801,Michael Bublé
10220,402524,Parchis
10221,402524,Parchis
10222,402524,Parchis
10223,402524,Parchis
10224,402524,Parchis
10225,402524,Parchis
10226,402524,Parchis
10227,402524,Parchis
10228,402524,Parchis
10229,402524,Parchis
10230,824,Frank Sinatra
10231,824,Frank Sinatra
10232,26092,Epic Rap Battles of History
10233,824,Frank Sinatra
10234,824,Frank Sinatra
10235,824,Frank Sinatra
10236,824,Frank Sinatra
10237,824,Frank Sinatra
10238,824,Frank Sinatra
10239,59801,Michael Bublé
10240,59801,Michael Bublé
10241,59801,Michael Bublé
10242,59801,Michael Bublé
10243,59801,Michael Bublé
10244,59801,Michael Bublé
10245,59801,Michael Bublé
10246,59801,Michael Bublé
10247,59801,Michael Bublé
10248,59801,Michael Bublé
10249,123485,Villancicos de Navidad
10250,452494,Villancicos
10251,452494,Villancicos
10252,532417,Villancicos Navideños
10253,452494,Villancicos
10254,452494,Villancicos
10255,452494,Villancicos
10256,452494,Villancicos
10257,452494,Villancicos
10258,532417,Villancicos Navideños
10259,354376,Luis Miguel
10260,354376,Luis Miguel
10261,354376,Luis Miguel
10262,354376,Luis Miguel
10263,354376,Luis Miguel
10264,354376,Luis Miguel
10265,354376,Luis Miguel
10266,354376,Luis Miguel
10267,354376,Luis Miguel
10268,354376,Luis Miguel
10269,290838,Darlene Love
10270,290838,Darlene Love
10271,290838,Darlene Love
10272,290838,Darlene Love
10273,290838,Darlene Love
10274,290838,Darlene Love
10275,290838,Darlene Love
10276,290838,Darlene Love
10277,290838,Darlene Love
10278,290838,Darlene Love
10279,78828,Laura Pausini
10280,78828,Laura Pausini
10281,78828,Laura Pausini
10282,78828,Laura Pausini
10283,78828,Laura Pausini
10284,78828,Laura Pausini
10285,78828,Laura Pausini
10286,78828,Laura Pausini
10287,78828,Laura Pausini
10288,78828,Laura Pausini
10289,43383,Sam Smith
10290,43383,Sam Smith
10291,43383,Sam Smith
10292,43383,Sam Smith
10293,1553003,Calvin Harris & Sam Smith
10294,43383,Sam Smith
10295,43383,Sam Smith
10296,43383,Sam Smith
10297,43383,Sam Smith
10298,43383,Sam Smith
10299,26349,Louis Armstrong
10300,26349,Louis Armstrong
10301,350588,Ella Fitzgerald & Louis Armstrong
10302,26349,Louis Armstrong
10303,350588,Ella Fitzgerald & Louis Armstrong
10304,350588,Ella Fitzgerald & Louis Armstrong
10305,26349,Louis Armstrong
10306,26349,Louis Armstrong
10307,350588,Ella Fitzgerald & Louis Armstrong
10308,26349,Louis Armstrong
10309,32563,Brenda Lee
10310,32563,Brenda Lee
10311,32563,Brenda Lee
10312,19340,Chuck Berry
10313,32563,Brenda Lee
10314,32563,Brenda Lee
10315,32563,Brenda Lee
10316,32563,Brenda Lee
10317,32563,Brenda Lee
10318,32563,Brenda Lee
10319,1052,Britney Spears
10320,1052,Britney Spears
10321,1052,Britney Spears
10322,1052,Britney Spears
10323,1052,Britney Spears
10324,1052,Britney Spears
10325,1052,Britney Spears
10326,1052,Britney Spears
10327,1052,Britney Spears
10328,1052,Britney Spears
10329,354376,Luis Miguel
10330,354376,Luis Miguel
10331,354376,Luis Miguel
10332,354376,Luis Miguel
10333,354376,Luis Miguel
10334,354376,Luis Miguel
10335,354376,Luis Miguel
10336,354376,Luis Miguel
10337,354376,Luis Miguel
10338,354376,Luis Miguel
10339,1205,Mariah Carey
10340,1205,Mariah Carey
10341,1205,Mariah Carey
10342,1205,Mariah Carey
10343,1205,Mariah Carey
10344,1205,Mariah Carey
10345,1205,Mariah Carey
10346,1205,Mariah Carey
10347,1205,Mariah Carey
10348,1205,Mariah Carey
10349,455477,Wolfine
10350,455477,Wolfine
10351,455477,Wolfine
10352,1178484,Alberto Stylee & Wolfine
10353,455477,Wolfine
10354,455477,Wolfine
10355,455477,Wolfine
10356,455477,Wolfine
10357,455477,Wolfine
10358,455477,Wolfine
10359,687008,Keala Settle
10360,1600466,Keala Settle
10361,1426821,Keala Settle & The Greatest Showman Ensamble
10362,1240266,Genius Translations
10363,54329,Hugh Jackman
10364,54329,Hugh Jackman
10365,1228261,Original Broadway Cast of Waitress
10366,1228261,Original Broadway Cast of Waitress
10367,1228261,Original Broadway Cast of Waitress
10368,184927,Zac Efron
10369,184927,Zac Efron
10370,184927,Zac Efron
10371,1050050,Taylor Swift & Zac Efron
10372,184927,Zac Efron
10373,184927,Zac Efron
10374,1543249,Drake & Michael Jackson
10375,835,Michael Jackson
10376,835,Michael Jackson
10377,835,Michael Jackson
10378,835,Michael Jackson
10379,835,Michael Jackson
10380,835,Michael Jackson
10381,835,Michael Jackson
10382,835,Michael Jackson
10383,835,Michael Jackson
10384,498,Beyoncé
10385,216609,Fetty Wap
10386,498,Beyoncé
10387,563,Queen
10388,498,Beyoncé
10389,498,Beyoncé
10390,1304579,Queen Naija
10391,498,Beyoncé
10392,498,Beyoncé
10393,15740,Lana Del Rey
10394,54329,Hugh Jackman
10395,54329,Hugh Jackman
10396,54329,Hugh Jackman
10397,54329,Hugh Jackman
10398,54329,Hugh Jackman
10399,54329,Hugh Jackman
10400,54329,Hugh Jackman
10401,54329,Hugh Jackman
10402,54329,Hugh Jackman
10403,1467954,Ziv Zaifman
10404,5510,Don Omar
10405,5510,Don Omar
10406,5510,Don Omar
10407,5510,Don Omar
10408,5510,Don Omar
10409,5510,Don Omar
10410,1652768,Farruko & Don Omar
10411,1670369,Daddy Yankee & Don Omar
10412,5510,Don Omar
10413,665,Major Lazer
10414,2525,Macklemore & Ryan Lewis
10415,2525,Macklemore & Ryan Lewis
10416,2525,Macklemore & Ryan Lewis
10417,2525,Macklemore & Ryan Lewis
10418,2525,Macklemore & Ryan Lewis
10419,2525,Macklemore & Ryan Lewis
10420,2525,Macklemore & Ryan Lewis
10421,2525,Macklemore & Ryan Lewis
10422,2525,Macklemore & Ryan Lewis
10423,2525,Macklemore & Ryan Lewis
10424,250301,Charlie Puth
10425,944,Marvin Gaye
