,artist_id,artist_name
0,1405,Shakira
1,622140,CNCO
2,828,Ricky Martin
3,1440188,Cardi B
4,403538,Zion & Lennox
5,344693,Carlos Vives
6,458858,Sebastián Yatra
7,150934,The Chainsmokers
8,1119780,Luis Fonsi & Daddy Yankee
9,2358,The Weeknd
10,41287,DJ Snake
11,1004541,IAmChino
12,500,Bruno Mars
13,13539,Maroon 5
14,1111425,Christian Nodal
15,106693,Clean Bandit
16,405706,Piso 21
17,8362,Enrique Iglesias
18,405415,Maluma
19,640693,Ozuna
20,358160,Chino & Nacho
21,2358,The Weeknd
22,26507,Ariana Grande
23,405415,Maluma
24,2069,Calvin Harris
25,250301,Charlie Puth
26,130,Drake
27,32131,Wisin
28,1296540,Martin Garrix & Dua Lipa
29,665,Major Lazer
30,344914,Alejandro Fernández
31,23796,​twenty one pilots
32,343803,Thalía
33,490779,Banda Sinaloense MS de Sergio Lizárraga
34,1296456,Rvssian
35,654,Mike Posner
36,17085,Cartel de Santa
37,70113,BTS
38,339472,ZAYN
39,1440188,Cardi B
40,1467082,Logic & Juanes
41,405252,Ariel Camacho Y Los Plebes Del Rancho
42,177756,Rae Sremmurd
43,490779,Banda Sinaloense MS de Sergio Lizárraga
44,490779,Banda Sinaloense MS de Sergio Lizárraga
45,365092,Tommy Torres
46,1407355,Nicky Jam & J Balvin
47,406125,Sofía Reyes
48,405415,Maluma
49,130,Drake
50,632979,Jonas Blue
51,41287,DJ Snake
52,367239,Los Ángeles Azules
53,334,Justin Timberlake
54,23796,​twenty one pilots
55,2069,Calvin Harris
56,354376,Luis Miguel
57,405415,Maluma
58,23796,​twenty one pilots
59,367239,Los Ángeles Azules
60,346373,Reik
61,16775,Sia
62,34107,James Arthur
63,403538,Zion & Lennox
64,150394,Gente De Zona
65,150934,The Chainsmokers
66,459343,Charly Black
67,349674,Julion Alvarez Y Su Norteno Banda
68,374824,Joey Montana
69,615500,Los Plebes del Rancho de Ariel Camacho
70,195029,Shawn Mendes
71,346373,Reik
72,367239,Los Ángeles Azules
73,490779,Banda Sinaloense MS de Sergio Lizárraga
74,367239,Los Ángeles Azules
75,347385,Calibre 50
76,68582,León Larregui
77,357,Justin Bieber
78,1407355,Nicky Jam & J Balvin
79,367239,Los Ángeles Azules
80,16775,Sia
81,565381,DNCE
82,624481,Anuel AA
83,195029,Shawn Mendes
84,490779,Banda Sinaloense MS de Sergio Lizárraga
85,999629,Kungs & Cookin' On 3 Burners
86,482494,La adictiva banda san josé de mesillas
87,270518,Paulina Rubio
88,491975,Morat
89,1064468,Ulices Chaidez Y Sus Plebes
90,456537,Alan Walker
91,68582,León Larregui
92,161157,Gerardo Ortiz
93,367203,Bacilos
94,1440188,Cardi B
95,1151884,Alta Consigna
96,352807,Banda Los Recoditos
97,632979,Jonas Blue
98,388604,Juan Magán
99,347385,Calibre 50
100,1589111,Marc Anthony
101,665,Major Lazer
102,357,Justin Bieber
103,991355,Nevada
104,458858,Sebastián Yatra
105,60437,Fifth Harmony
106,118792,Alejandro Sanz
107,1065439,Crecer Germán
108,150934,The Chainsmokers
109,346373,Reik
110,402322,La Arrolladora Banda El Limón De René Camacho
111,1496274,Alok & Bruno Martini
112,355570,Joan Sebastian
113,8362,Enrique Iglesias
114,357,Justin Bieber
115,1296456,Rvssian
116,615500,Los Plebes del Rancho de Ariel Camacho
117,349674,Julion Alvarez Y Su Norteno Banda
118,8362,Enrique Iglesias
119,89,Rihanna
120,665,Major Lazer
121,32132,Yandel
122,1151884,Alta Consigna
123,111722,Milky Chance
124,62408,Raphael de la Ghetto
125,270484,Tatiana Manaois
126,490779,Banda Sinaloense MS de Sergio Lizárraga
127,344364,Cristian Castro
128,405415,Maluma
129,991853,Sak Noel & Salvi
130,349674,Julion Alvarez Y Su Norteno Banda
131,405252,Ariel Camacho Y Los Plebes Del Rancho
132,150934,The Chainsmokers
133,484307,Mon Laferte
134,175579,Robin Schulz
135,651111,Niall Horan
136,348226,Luis Enrique
137,60768,Lukas Graham
138,343628,Timbiriche
139,12418,Ed Sheeran
140,338486,Cali Y El Dandee
141,828,Ricky Martin
142,1091336,The Chainsmokers & Coldplay
143,5510,Don Omar
144,17085,Cartel de Santa
145,402322,La Arrolladora Banda El Limón De René Camacho
146,355570,Joan Sebastian
147,388604,Juan Magán
148,127642,Tove Lo
149,459343,Charly Black
150,32132,Yandel
151,377002,Cheat Codes
152,278311,Kygo
153,99894,El Komander
154,624481,Anuel AA
155,544871,R. City
156,703,Foster The People
157,336020,Natalia Lafourcade
158,656936,Jacob Forever
159,12418,Ed Sheeran
160,632979,Jonas Blue
161,354184,Kabah
162,45349,Charli XCX
163,367239,Los Ángeles Azules
164,281669,Kevin Roldán
165,130,Drake
166,402461,La Quinta Estación
167,150934,The Chainsmokers
168,367239,Los Ángeles Azules
169,597515,Ypo
170,626678,Desiigner
171,354376,Luis Miguel
172,1589111,Marc Anthony
173,359349,Fidel Rueda
174,453636,Alfredo Olivas
175,406029,Reykon
176,615500,Los Plebes del Rancho de Ariel Camacho
177,490779,Banda Sinaloense MS de Sergio Lizárraga
178,159154,Galantis
179,452424,Río Roma
180,385126,Tony Camargo
181,490779,Banda Sinaloense MS de Sergio Lizárraga
182,352807,Banda Los Recoditos
183,139656,Cosculluela
184,490779,Banda Sinaloense MS de Sergio Lizárraga
185,2358,The Weeknd
186,498,Beyoncé
187,13539,Maroon 5
188,482494,La adictiva banda san josé de mesillas
189,344914,Alejandro Fernández
190,17085,Cartel de Santa
191,16775,Sia
192,482494,La adictiva banda san josé de mesillas
193,354949,Juan Gabriel
194,2300,Adele
195,1091336,The Chainsmokers & Coldplay
196,155057,Deorro
197,346345,Pepe Aguilar
198,26507,Ariana Grande
199,354949,Juan Gabriel
200,371779,Carlos Rivera
201,175579,Robin Schulz
202,654589,Terror Jr
203,182312,Zoey Dollaz
204,456537,Alan Walker
205,1052299,Hailee Steinfeld & Grey
206,352970,Ha-Ash
207,1091336,The Chainsmokers & Coldplay
208,67223,Yuridia
209,182312,Zoey Dollaz
210,17085,Cartel de Santa
211,640693,Ozuna
212,17085,Cartel de Santa
213,357,Justin Bieber
214,182312,Zoey Dollaz
215,1031581,Cheat Codes & Dante Klein
216,369334,Sin Bandera
217,17085,Cartel de Santa
218,1091336,The Chainsmokers & Coldplay
219,1515613,MYA
220,640693,Ozuna
221,2300,Adele
222,343645,Panteón Rococó
223,984358,Starley
224,130,Drake
225,640693,Ozuna
226,4,Lil Wayne
227,339472,ZAYN
228,2578,David Guetta
229,13763,Christina Perri
230,876839,Mike Perry
231,360787,Carlos Baute
232,365,John Legend
233,218766,Xantos
234,278311,Kygo
235,17085,Cartel de Santa
236,2069,Calvin Harris
237,1494027,Lady Gaga & Bradley Cooper
238,1665,Machine Gun Kelly
239,365092,Tommy Torres
240,353717,Ricardo Montaner
241,2578,David Guetta
242,43383,Sam Smith
243,195029,Shawn Mendes
244,2578,David Guetta
245,2358,The Weeknd
246,17085,Cartel de Santa
247,16775,Sia
248,1015048,Zay Hilfigerrr
249,500,Bruno Mars
250,17085,Cartel de Santa
251,13539,Maroon 5
252,483838,Manuel Medrano
253,365909,Beatriz Luengo
254,361468,Café Tacvba
255,270518,Paulina Rubio
256,632979,Jonas Blue
257,15695,Martin Solveig
258,72916,The Vamps
259,1174,Kings of Leon
260,539524,Matisse & Sadko
261,21100,Oasis
262,55903,Zara Larsson
263,118792,Alejandro Sanz
264,12418,Ed Sheeran
265,12418,Ed Sheeran
266,16775,Sia
267,253284,Enjambre
268,361468,Café Tacvba
269,624481,Anuel AA
270,139656,Cosculluela
271,492,Big Sean
272,1064468,Ulices Chaidez Y Sus Plebes
273,241761,DRAM
274,182312,Zoey Dollaz
275,484307,Mon Laferte
276,352970,Ha-Ash
277,1084521,Zedd & Alessia Cara
278,346373,Reik
279,150934,The Chainsmokers
280,1119780,Luis Fonsi & Daddy Yankee
281,14181,The xx
282,14181,The xx
283,369334,Sin Bandera
284,346373,Reik
285,1232654,Tiësto & Dzeko
286,14181,The xx
287,1122649,The Vamps & Martin Jensen
288,25939,Sage The Gemini
289,1084521,Zedd & Alessia Cara
290,1407355,Nicky Jam & J Balvin
291,356386,Jarabe De Palo
292,365,John Legend
293,405415,Maluma
294,1119780,Luis Fonsi & Daddy Yankee
295,525432,Justin Quiles
296,1440188,Cardi B
297,365092,Tommy Torres
298,247886,LANY
299,357907,Los Enanitos Verdes
300,336020,Natalia Lafourcade
301,1296540,Martin Garrix & Dua Lipa
302,665,Major Lazer
303,315233,Joaquín Sabina
304,1467082,Logic & Juanes
305,6234,Jamiroquai
306,344693,Carlos Vives
307,55903,Zara Larsson
308,49549,Danny Ocean
309,44080,Migos
310,828,Ricky Martin
311,1440188,Cardi B
312,220055,Ryan Gosling
313,62408,Raphael de la Ghetto
314,220055,Ryan Gosling
315,336020,Natalia Lafourcade
316,1043521,La La Land Cast
317,409643,Julia Michaels
318,978048,Stanaj
319,1108247,Lucah
320,358670,Ricardo Arjona
321,490779,Banda Sinaloense MS de Sergio Lizárraga
322,344364,Cristian Castro
323,344914,Alejandro Fernández
324,29472,Imagine Dragons
325,26507,Ariana Grande
